,name,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
173,"Mudhal Nee Mudivum Nee Title Track (From ""Mudhal Nee Mudivum Nee"")",1AzNN19lPYC68iacrbWL8X,0.556,0.521,6,-10.811,1,0.0321,0.632,0.000582,0.102,0.355,127.956
174,"The Punjaabban Song (From ""Jugjugg Jeeyo"")",1XSSm7oKOzNE8oUapjIRWV,0.779,0.964,10,-2.888,0,0.0995,0.0858,1.46e-05,0.676,0.613,139.241
175,"Mummy Nu Pasand (From ""Jai Mummy Di"")",74qF0JeFMVilMEeFDiQZ48,0.776,0.969,8,-0.079,0,0.105,0.0149,0.000153,0.352,0.802,94.018
176,"Aankh Marey (From ""Simmba"")",2LlAQ7Zk7NlHLCWzf8Cxcy,0.631,0.883,1,-5.478,0,0.068,0.329,0.143,0.0999,0.441,75.008
177,"Odhani (From ""Made in China"")",2q0V50aNlI1RQXJyE5HDgD,0.711,0.731,2,-6.651,1,0.0569,0.233,0.0,0.178,0.474,130.0
178,"Chalak Chalak - From ""Devdas""",5vi2v2FeqGwxpMEsHxXzJd,0.795,0.819,2,-5.867,1,0.144,0.298,0.0,0.179,0.537,97.491
179,Besharmi Ki Height,1qtl3vB0uqciZ94g3S6TO7,0.708,0.946,7,-4.519,1,0.0434,0.128,0.0,0.559,0.477,130.99
180,"Nikamma (From ""Nikamma"")",3qgklso41KNlGppAwsJoLq,0.743,0.852,1,-5.667,1,0.039,0.00605,1.91e-06,0.45,0.499,121.976
181,All Black,7n6AQKpZUGiJM2auF3yuDY,0.813,0.734,10,-5.464,0,0.0577,0.072,0.0,0.118,0.652,107.967
182,Wakhra Swag,0gbk1PiLb6ISZ2hffSKLmq,0.794,0.634,7,-5.838,0,0.262,0.154,1.41e-06,0.081,0.773,159.926
183,Nashe Si Chadh Gayi,0biCSADTAblvLTLtJz4pXO,0.799,0.784,4,-5.207,0,0.0519,0.11,2.84e-06,0.227,0.26,96.953
184,Suit Suit,2mwBSO58y92EYmEFpDfmS7,0.767,0.869,2,-3.381,0,0.0908,0.14,0.0,0.221,0.751,98.208
185,She Move It Like,6iSUIEoQaZXB2gtTCTeQYv,0.832,0.477,0,-6.949,1,0.0481,0.00725,6.47e-05,0.205,0.844,101.997
186,Lungi Dance,5mspnitXdgFoR1PJeTKth5,0.657,0.514,2,-12.251,1,0.0444,0.811,0.0116,0.111,0.315,134.004
187,"Tune Maari Entriyaan (From ""Gunday"")",5kg1GacbhgQfLcbgOBRO9c,0.794,0.865,8,-5.333,1,0.215,0.149,1.38e-05,0.0468,0.779,126.658
188,Saturday Saturday,7MvQQGqYE4r0ucTarmI2Gr,0.847,0.938,8,-4.615,1,0.0974,0.149,0.0,0.107,0.786,130.02
189,Closer,0Ye1olMyvB2rLjZ4vlYVWI,0.775,0.559,8,-5.89,1,0.0417,0.081,0.0,0.219,0.408,100.042
190,Victory,0k7Jl4wxnWZpsFsMOyr9Li,0.305,0.519,2,-9.966,1,0.0363,0.317,0.906,0.0793,0.0537,102.022
191,Ek Dil Ek Jaan,1NfNC8BKQSbWyhwZgLvrfY,0.528,0.664,2,-7.262,1,0.0377,0.226,0.0,0.121,0.109,97.893
192,Fight Song,37f4ITSlgPX81ad2EvmVQr,0.564,0.714,7,-4.987,1,0.129,0.0549,0.0,0.155,0.33,175.924
193,All Time Low,3aEcaegTsg7rnU0Mk5a7Eu,0.637,0.543,0,-4.34,1,0.112,0.0604,0.0,0.103,0.516,90.117
194,Sakhiyaan,7Je1WAFC1moupG7xPqmtCu,0.776,0.87,9,-3.275,1,0.0385,0.354,0.0,0.0421,0.404,114.994
195,The Nights,3hRV0jL3vUpRrcy398teAU,0.544,0.369,2,-9.514,1,0.038,0.969,0.279,0.639,0.102,87.01
196,Never Leave Me (feat. Joe Janiak),6mvF9Mpgqr9Gj8rhPiUVfD,0.575,0.88,0,-1.861,1,0.0579,0.0183,0.0,0.379,0.436,127.882
197,Without Me,5p7ujcrUXASCNwRaWNHR1C,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041
198,drivers license,07EILZ6UWcI1HeI1AcXU4t,0.59,0.786,0,-4.912,1,0.162,0.0933,0.0,0.256,0.322,146.94
199,"Naalo Neeku - From ""Mr. Majnu""",1WYYiIsWSSrB4lfBoAUNhc,0.449,0.588,1,-6.086,1,0.0289,0.721,2.53e-05,0.0948,0.381,160.039
200,Payphone,1XGmzt0PVuFgQYYnV2It7A,0.743,0.752,4,-4.813,1,0.0414,0.0188,0.0,0.287,0.545,110.015
201,comethru,18uwL0vNUanqZH0ro2QcOP,0.795,0.178,0,-11.991,1,0.0574,0.607,0.0,0.623,0.608,93.982
202,"He\'s a Pirate (from ""Pirates of the Caribbean: Curse of the Black Pearl"") - From ""Pirates of the Caribbean: The Curse Of the Black Pearl""/Score",1a4k2osHzhVwhvgINJERyN,0.631,0.918,2,-4.92,0,0.0374,0.00116,0.387,0.101,0.338,112.489
203,Radioactive,1p72DhSVCYhdO5Or2Nd11I,0.647,0.875,10,-2.056,0,0.046,0.0192,0.00017,0.27,0.554,125.026
204,Die Young,7EQGXaVSyEDsCWKmUcfpLk,0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001
205,Instagram,4b0sg9CF68kCYJhFguXk5H,0.771,0.526,10,-6.993,0,0.295,0.0149,0.341,0.489,0.384,150.105
206,We Are Young (feat. Janelle Monáe),5rgy6ghBq1eRApCkeUdJXf,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086
207,Our Song,1j6gmK6u4WNI33lMZ8dC1s,0.668,0.672,2,-4.931,1,0.0303,0.111,0.0,0.329,0.539,89.011
208,Perfect Strangers,3P3pw6C19j31Rnzgo3JG7o,0.73,0.861,1,-4.1,1,0.0451,0.39,0.0,0.213,0.704,117.965
209,Angreji Beat,4psVrPZy07uZTLwc3Mqz4V,0.85,0.998,9,-1.558,1,0.3,0.202,0.00104,0.0653,0.256,119.962
210,Afterglow,0Kp13tifAmX8SC0TlBkOmp,0.659,0.273,11,-6.352,1,0.0285,0.823,0.0,0.121,0.292,110.171
211,Young Dumb & Broke,7ER7vcy7u2ajg5IV45WBFw,0.439,0.681,0,-5.516,1,0.15,0.101,0.000232,0.395,0.3,168.082
212,YOUTH,3FpOx5puPuaX1TAkjsbEoA,0.375,0.728,1,-8.953,0,0.0485,0.233,0.000361,0.0453,0.198,123.463
213,INDUSTRY BABY (feat. Jack Harlow),27NovPIUIRrOZoCHxABJwK,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995
214,Love Me Less (feat. Quinn XCII) - Ookay Remix,2tOOcDDYkh0PSjr6GwPEAJ,0.732,0.856,11,-2.2,0,0.0929,0.0828,0.0,0.323,0.771,145.034
215,What Do I Know?,2pJZ1v8HezrAoZ0Fhzby92,0.838,0.492,1,-5.69,0,0.038,0.251,0.0,0.262,0.895,115.092
216,Please Don't Go,3cNjgVBKTJ1SvKhunrCdVy,0.513,0.768,4,-4.868,0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264
217,"Kusu Kusu (From ""Satyameva Jayate 2"")",4blcmVDJLkFfPpWjthvLZH,0.645,0.756,2,-4.292,1,0.0397,0.225,0.0,0.0937,0.713,89.945
218,Unholy (feat. Kim Petras),3nqQXoyQOWXiESFLlDF1hG,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121
219,Just Hold On,3EmmCZoqpWOTY1g2GBwJoR,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.5e-06,0.0574,0.374,114.991
220,Lie To Me (feat. Julia Michaels),6GzApXoBQiiAjak3tOQfV3,0.611,0.52,0,-5.445,1,0.0346,0.0132,0.0,0.105,0.771,159.927
221,You're Perfect,4iSWQ5Eadn5tZvvG9XNzYN,0.817,0.855,7,-3.282,0,0.244,0.318,0.0,0.0517,0.783,104.909
222,Counting Stars,6sKyTORhJY0F4Lz7R7wOIK,0.56,0.737,9,-3.403,1,0.0389,0.00502,0.856,0.0946,0.332,122.021
223,Harry in Winter,4H3KBBAe2Fcgv9lH6E10Oe,0.175,0.248,11,-16.707,0,0.0423,0.559,0.966,0.189,0.0396,110.447
224,Hangover,5AtPTYc8CPCePrIlaHrJc3,0.583,0.923,6,-3.322,0,0.0575,0.0755,0.0,0.249,0.924,109.879
225,Happy,72K0gi3DyEuaW0kPCw0lrO,0.673,0.937,1,-3.178,1,0.11,0.196,0.0,0.937,0.764,79.996
226,"Genius (feat. Sia, Diplo, and Labrinth)",4TlbZgqxhJ6uN3tpVyjw90,0.655,0.764,11,-3.381,0,0.193,0.0147,8.88e-05,0.0511,0.707,159.017
227,Don't Leave Me Alone (feat. Anne-Marie),2lYTJK94hb0fd1LQtb6Dhk,0.659,0.738,4,-5.072,0,0.0477,0.118,0.0,0.115,0.481,127.95
228,More Than You Know,6h5PAsRni4IRlxWr6uDPTP,0.646,0.741,5,-4.973,0,0.034,0.0275,0.0,0.312,0.571,123.077
229,London Bridge,2SXavTdVvNS4dAgexJxiYT,0.238,0.469,2,-13.21,1,0.0429,0.273,0.947,0.115,0.0915,130.008
230,Someone You Loved,4m0q0xQ2BNl9SCAGKyfiGZ,0.618,0.793,0,-5.711,1,0.0601,0.204,0.0154,0.126,0.459,101.015
231,I Think I'm OKAY (with YUNGBLUD & Travis Barker),2gTdDMpNxIRFSiu7HutMCg,0.628,0.744,7,-4.718,1,0.0379,0.0257,0.0,0.313,0.277,119.921
232,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284
233,Danza Kuduro,6DXLO8LndZMVOHM0wNbpzg,0.699,0.917,0,-4.897,1,0.115,0.078,0.0,0.065,0.889,130.04
234,"O Saki Saki (From ""Batla House"")",4cFwhwH5ydnHgB0Tv3lZsm,0.737,0.961,10,-0.155,0,0.0747,0.163,0.0,0.361,0.567,108.014
235,Rise,69Sy7207dnixZ6w7RSV9Kb,0.459,0.663,8,-5.939,0,0.1,0.0169,0.0,0.0621,0.412,176.791
236,The Middle,09IStsImFySgyp0pIQdqAc,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01
237,King,1QC7vpmKZW0Nb3I16f9jND,0.796,0.907,7,-1.908,0,0.0746,0.00329,0.142,0.226,0.0624,128.037
238,Dancing With A Stranger (with Normani),0GfS3y8Jd7SHWd9R51s7Fo,0.746,0.557,1,-6.722,1,0.0542,0.103,0.0036,0.138,0.324,111.961
239,Naach Meri Rani,1orM67pmkNc4alrZkWjYkV,0.676,0.488,1,-5.091,1,0.154,0.0613,0.0,0.0707,0.151,97.036
240,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",0OI7AFifLSoGzpb8bdBLLV,0.653,0.718,3,-5.232,0,0.213,0.00413,0.0,0.0537,0.216,82.034
241,Daaru Desi,5pAo2q7eVt65OSkwYgqhHl,0.703,0.781,8,-6.876,0,0.0468,0.194,0.000368,0.0928,0.679,94.014
242,Ratti Ratti Reza Reza,7zgXFtMLaRnDweNdVWGpVF,0.431,0.667,7,-6.389,1,0.11,0.707,0.000393,0.0658,0.635,85.232
243,Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,0.749,0.925,10,-5.034,1,0.227,0.241,0.0,0.52,0.641,86.989
244,Anjaana Anjaani Ki Kahani,3pNxVP6r45iUho1uxEYdj9,0.682,0.97,2,-5.332,1,0.0459,0.00591,0.171,0.0448,0.959,137.954
245,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,0.857,0.621,9,-6.376,0,0.0825,0.148,0.0,0.0865,0.668,97.989
246,"Cutiepie (From ""Ae Dil Hai Mushkil"")",1YOW5pnfikVa6BcCBIOQUU,0.799,0.929,0,-3.231,0,0.0668,0.253,0.000462,0.24,0.952,127.999
247,Channa Mereya - Unplugged,0xHvmWCpz9Pnn1sDvRehAs,0.537,0.251,0,-9.533,1,0.0276,0.899,5.76e-05,0.0857,0.288,89.916
248,"Manma Emotion Jaage (From ""Dilwale"")",6emsLWJ2bu8vCP7BslV76d,0.762,0.822,0,-2.758,1,0.0425,0.0284,0.0,0.367,0.467,101.998
249,Happier,7qQBDZ0OOjB08puThixBGJ,0.47,0.322,6,-12.911,1,0.0272,0.613,0.0,0.165,0.0788,86.321
250,Enemy (with JID) - from the series Arcane League of Legends,3AmVt1GKoL0qV4jf1PxbJj,0.484,0.688,7,-7.764,1,0.0341,0.142,0.679,0.131,0.186,77.018
251,Ranjha,5Fcb5rMOXctxKoctBD1PPu,0.63,0.675,1,-8.352,1,0.127,0.0196,2.46e-06,0.368,0.638,169.979
252,Kar Har Maidaan Fateh,3FHl1QYu76zguwjqhqcglX,0.557,0.821,1,-7.794,0,0.0573,0.0189,0.0,0.0863,0.184,170.022
253,All Falls Down (feat. Juliander),5yFSF6qQA1rcLsQRnBsZgb,0.658,0.678,1,-4.407,1,0.058,0.303,0.0,0.361,0.662,97.976
254,Acapulco,0x85W4yMq53ZrHdhlcBPax,0.49,0.798,10,-5.484,1,0.154,0.0159,4.92e-06,0.0769,0.659,123.93
255,Swag Se Swagat,2AjGLmuZK1fu21n1IpB9RU,0.825,0.559,1,-7.907,1,0.0722,0.0212,0.000689,0.205,0.207,105.957
256,rockstar (feat. 21 Savage),5l38Fl6isxOyDXWVlwPJjJ,0.781,0.82,10,-6.003,0,0.0728,0.191,0.021,0.0586,0.226,100.02
257,Shubhaarambh,6qGCJLF0V7SuHTOOGUcDsv,0.484,0.551,10,-6.6,1,0.0505,0.208,0.0,0.117,0.571,115.163
258,Khaab,0a6zRnrjmaOcqsEIFkXIhw,0.662,0.661,0,-5.689,1,0.0514,0.417,0.0,0.0784,0.222,80.009
259,"Heer Badnaam (From ""Zero"")",1mLjtKr1Mn1cnsTTozdeLK,0.837,0.724,2,-5.525,1,0.11,0.116,0.0005,0.0676,0.343,95.01
260,Live Forever (With Cheat Codes),3aQGknD9CVAtpQFh6Qtalq,0.69,0.676,7,-6.111,1,0.0335,0.213,0.0,0.123,0.664,100.023
261,Darling,2j1Es5qEl4pD8GEe2WsYgP,0.519,0.695,0,-4.861,1,0.0812,0.299,0.0,0.43,0.515,95.384
262,Jiya Re,21Af1fetSINZpmAS3si8DW,0.712,0.718,11,-8.286,0,0.0444,0.049,2.02e-05,0.128,0.59,106.012
263,Leja Re,5se72G7mD8ZN6EyQX96K0K,0.791,0.761,1,-4.414,1,0.06,0.558,0.0,0.107,0.449,100.031
264,Darkside,6xlOnm5MITIKtixzJW8R0j,0.533,0.714,7,-6.472,0,0.0608,0.31,1.58e-06,0.0869,0.454,165.037
265,Sunset Lover,0hNduWmlWmEmuwEFcYvRu1,0.783,0.467,6,-9.474,1,0.0503,0.729,0.809,0.109,0.236,90.838
266,Ik Vaari Aa,7fyiYhn7STpHvT5g0lbncC,0.512,0.752,4,-4.857,0,0.0534,0.305,0.0,0.708,0.428,127.965
267,Long Drive,2jDrRaea7deXVEt4JmpvBU,0.854,0.675,1,-7.509,1,0.11,0.676,3.45e-05,0.123,0.982,130.002
268,Jhalla Wallah,1y8Ck6jFOyxNC59SrQJIn6,0.454,0.552,4,-9.479,1,0.162,0.542,8.93e-06,0.247,0.596,86.994
269,Jumme Ki Raat,2xHMxag2921urhJvdUOmPk,0.688,0.954,1,-3.076,0,0.145,0.209,0.00326,0.0387,0.766,140.186
270,"London Thumakda (From ""Queen"")",2qJAzSE6uC94oH2NRoPrGl,0.835,0.718,0,-6.614,1,0.0818,0.363,0.000919,0.0625,0.64,139.964
271,Tere Liye,7AOfgEOt50y54MXS3PzM4E,0.51,0.446,5,-8.337,1,0.028,0.8,0.0,0.113,0.228,79.018
272,"Tum Hi Ho (From ""Aashiqui 2"")",56zZ48jdyY2oDXHVnwg5Di,0.528,0.449,5,-6.25,0,0.025,0.785,0.0,0.122,0.317,94.058
273,Bahara,1gwO79MdYdumgIjxq8eCxB,0.595,0.739,5,-6.733,1,0.0359,0.0716,6.98e-06,0.134,0.722,87.834
274,Character Dheela,1r4oikmMdZZiGHkPA4hSoe,0.783,0.889,1,-2.691,0,0.0598,0.108,3.06e-05,0.333,0.851,111.983
275,Saree Ke Fall Sa,6q9Xm2jmdQ3Qi91iQpdHH9,0.682,0.926,0,-4.257,1,0.191,0.285,0.0,0.061,0.89,185.884
276,Yaar Naa Miley,56lHtVpvNxFSKewJKpeYc3,0.663,0.938,0,-2.894,0,0.0335,0.0102,9.01e-06,0.75,0.551,127.988
277,Tum Hi Ho Bandhu,7H3mfOvtPNA8YDF3EdKy0L,0.715,0.89,11,-5.438,0,0.051,0.00111,0.000837,0.0297,0.891,134.994
278,Saadi Galli Aaja,6riCsiX9csuomBYnenrtGd,0.739,0.836,2,-5.155,1,0.0325,0.195,3.64e-06,0.197,0.677,109.011
279,Chittiyaan Kalaiyaan,6XjJXPP3UiGtAQpYkD01c0,0.793,0.887,7,-5.285,1,0.0954,0.0962,6.39e-05,0.623,0.602,100.007
280,Nagada Sang Dhol,5s9Kd33ExIhpe1JJSj5zLZ,0.743,0.921,3,-5.005,0,0.133,0.289,0.0064,0.0402,0.686,113.3
281,Oh Ho Ho Ho (Remix),3F0I9AkbRwz12yz7Hxn0bF,0.676,0.935,5,-3.499,0,0.0892,0.00917,0.0,0.097,0.802,144.944
282,Matargashti,5GeBgck1MU2tlIkMpsn8uT,0.792,0.63,0,-6.741,1,0.0682,0.102,0.0,0.0758,0.659,100.022
283,Gazab Ka Hain Yeh Din,73uS7CoWc6Ag3y2Tu20VCG,0.54,0.705,9,-6.731,1,0.0354,0.688,0.0,0.297,0.373,104.973
284,Hairat,3Bq7CnWgfvplEzGSVXUvOe,0.746,0.449,2,-10.063,1,0.031,0.249,0.00298,0.128,0.666,122.004
285,Dil Dhadakne Do,46elU7IBKWf55D5sjHGqO7,0.778,0.599,2,-4.758,1,0.032,0.0705,0.0,0.59,0.949,116.951
286,Sooraj Ki Baahon Mein,723xQva0yBF7M6K3nDAG8R,0.855,0.553,11,-6.52,1,0.0331,0.19,5.19e-06,0.0942,0.874,124.922
287,O Gujariya,4jQRR061JUkU9aDOZY9ho7,0.439,0.854,4,-7.013,1,0.162,0.201,0.000734,0.243,0.884,129.117
288,Buddhu Sa Mann,1dxbiVeiV7nQ2V9qXnhJiB,0.644,0.87,10,-4.816,1,0.0394,0.193,0.0,0.549,0.702,125.998
289,"Ilahi (From ""Yeh Jawaani Hai Deewani"")",5cgKosPPj5Cs9a2JQufUc1,0.593,0.967,9,-5.767,1,0.0907,0.166,2.54e-05,0.105,0.452,131.988
290,Ik Junoon (Paint It Red),3gfB6ZLETtjDT9zLIh4f3L,0.789,0.847,2,-7.797,1,0.0507,0.365,0.0015,0.148,0.646,127.035
291,Locha-E-Ulfat,3V3QbgrOZKtFv5MXzAAdZr,0.705,0.74,0,-5.82,1,0.0505,0.0365,0.0,0.487,0.928,106.953
292,Pehli Baar,2tEV3uJ6RlBiZPWaS7aJmb,0.392,0.257,0,-11.287,0,0.0362,0.917,0.0169,0.0654,0.449,139.789
293,"Sooraj Dooba Hain (From ""Roy"")",48pyUxg9RYuwie5M9R7qRn,0.616,0.75,2,-4.629,1,0.0594,0.172,0.0,0.137,0.434,128.051
294,Maahi Ve,7Czm0vv2sYL5z4P51KY66e,0.815,0.833,7,-6.117,0,0.0769,0.0297,2e-05,0.33,0.563,99.989
295,Tum Na Ho,65QRFvzB2ZLJ1BygWPxxVj,0.598,0.728,1,-4.626,0,0.0358,0.202,0.0,0.172,0.269,105.008
296,Raabta,6FjbAnaPRPwiP3sciEYctO,0.657,0.581,0,-8.108,1,0.0298,0.699,1.82e-05,0.116,0.323,118.037
297,Girls Like To Swing,1mFUSlTO2aP6UUBQwKHO4v,0.671,0.527,0,-7.384,1,0.0315,0.0593,0.0,0.373,0.164,124.975
298,Offo,1mrC3aaIuUm4vpsLLEXSiY,0.396,0.972,0,-7.758,1,0.0493,0.000266,0.724,0.582,0.136,169.981
299,Pasoori,7lvDsmTRXFE3dK4OjvRiWB,0.714,0.596,11,-6.206,0,0.043,0.0657,0.0,0.0625,0.669,91.991
300,Flashbacks,7AB1TtGbNXkixdYZtJRb4u,0.771,0.763,2,-5.157,0,0.0923,0.106,0.000103,0.0855,0.55,105.026
301,Same Old Love,6ZANrVuAMp2rpjhfbOuJly,0.672,0.593,11,-4.01,0,0.0304,0.0223,0.0,0.214,0.438,98.02
302,Naina (Mtv Unplugged Season 7),5If9mWAyoUNyqOK9xCGiTI,0.513,0.349,3,-8.67,1,0.0291,0.739,1.76e-06,0.082,0.162,149.689
303,Panga,0sLLnrijXRNf68utXkcG17,0.852,0.716,11,-6.863,1,0.262,0.125,0.0,0.273,0.817,120.0
304,Vaaste,0mJTAdmY8olbGQjopDYff3,0.444,0.479,5,-5.586,1,0.0436,0.454,0.0,0.095,0.315,89.892
305,Manzoore Nazar,10IozcGjniCaFST5sHeVH5,0.568,0.715,5,-4.446,1,0.0307,0.68,0.0,0.102,0.625,97.943
306,Hum Nashe Mein Toh Nahin,6XZWokIxs4leaSmXmU8b26,0.572,0.736,11,-7.768,1,0.0658,0.643,0.0,0.128,0.778,85.035
307,"Dilbar (From ""Satyameva Jayate"")",4tjLYTXFqZhkUDga4bQ0yl,0.725,0.912,9,-3.665,0,0.0851,0.155,7.68e-05,0.107,0.674,104.054
308,Na Ja Tu,2JHX4L5wNhzxVMPwc7UMAw,0.815,0.427,0,-7.521,1,0.082,0.59,0.0,0.0648,0.167,95.172
309,"Lamborghini (From ""Jai Mummy Di"")",0N8eNF7HSu4wlZFcmjLUxt,0.957,0.579,11,-7.257,1,0.0512,0.5,0.0,0.0737,0.856,103.981
310,Shab Tum Ho,0qbl9xq5MhWYjaSghHDVMQ,0.593,0.557,8,-6.684,0,0.0326,0.547,0.0,0.0872,0.314,140.002
311,Mann Mera - Remix,3yV2c3cYhkAwSsxAq6nRiv,0.535,0.765,1,-7.862,0,0.0444,0.054,0.0,0.0921,0.373,191.827
312,Mehendi - Dhol Mix,5z1GXXW2QGw5glkPGbji81,0.421,0.918,8,-4.409,1,0.0821,0.115,3.61e-06,0.0406,0.865,124.913
313,Tera Saath Ho,7e7KvikCdIigjhIbTScNqs,0.432,0.475,7,-9.47,1,0.0371,0.968,0.0116,0.312,0.664,115.955
314,Mirror,5Me1gCGtrfEJvkpqoX43HK,0.444,0.633,5,-7.279,0,0.104,0.861,0.0,0.1,0.359,78.404
315,Brazooka,6yVjjQA31SLM1kc4j5jPwF,0.748,0.99,1,-2.39,1,0.151,0.303,0.132,0.267,0.386,126.015
316,Fake Love,35IdvhReZhMqPaYpLHkKwJ,0.728,0.482,10,-4.915,0,0.106,0.0533,0.234,0.17,0.3,98.546
317,"Tera Ban Jaunga (From ""Kabir Singh"")",3oWxFNsXstcancCR1wODR4,0.605,0.53,11,-6.346,1,0.0246,0.821,0.0,0.131,0.397,93.95
318,Bhoos,1kyuz7HsgtrWBfM2mMHwPe,0.567,0.839,10,-5.325,0,0.131,0.0919,0.0272,0.189,0.785,104.974
319,Connection,0X5jjUWCbREmsFUVuAAkok,0.749,0.367,5,-15.736,0,0.133,0.335,0.0557,0.34,0.847,140.016
320,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043
321,Heartbeat,5LB6mf4iJFcsaIrzDcfgGF,0.67,0.803,7,-8.798,1,0.355,0.0056,0.00211,0.059,0.485,149.009
322,"Chaka Chak (From ""Atrangi Re"")",5pbOpE6CfRgGnPPZJSDfME,0.816,0.747,10,-6.86,0,0.206,0.064,1.07e-05,0.0806,0.842,82.019
323,Shootin Stars,4oQb1q0ELwSZWQiMSs5eiy,0.689,0.981,7,-3.171,1,0.0723,0.0213,0.0332,0.224,0.748,140.025
324,Stars,5E00xRhYsooyC3MBA2H848,0.618,0.854,6,-2.934,1,0.106,0.0276,0.0,0.158,0.334,127.895
325,Without You (feat. Sandro Cavazza),6Pgkp4qUoTmJIPn7ReaGxL,0.662,0.858,2,-4.844,1,0.0428,0.00163,0.0,0.0456,0.295,133.993
326,Raanjhanaa,5OMUXgfXsSukZ0zxelpC3b,0.673,0.714,9,-8.042,1,0.039,0.111,0.0,0.0858,0.78,112.941
327,"Raabta (From ""Agent Vinod)",6FjbAnaPRPwiP3sciEYctO,0.657,0.581,0,-8.108,1,0.0298,0.699,1.82e-05,0.116,0.323,118.037
328,Take This Ride,1bjd4UgjnK5hedJJKmi3YP,0.608,0.536,8,-5.355,0,0.0469,0.00704,3.59e-05,0.46,0.167,112.035
329,Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076
330,"Hey Aasmaan - From ""Theri""",2dIbM8USnliRNLxxwLGNS4,0.718,0.385,9,-12.12,0,0.0334,0.0692,0.0,0.0958,0.334,120.07
331,All For Love,5VGBgPVFO3e0lWz4WHYntQ,0.689,0.901,7,-1.431,1,0.0678,0.145,1.03e-05,0.459,0.651,125.115
332,Digital Dash,0GR7iJLhj80KD5LkA14ZRn,0.881,0.546,2,-7.566,1,0.12,0.00296,4.72e-06,0.226,0.276,140.032
333,Live Up to My Name,65ZxwnMAKwXdzhbCQuLL4U,0.944,0.495,6,-5.964,0,0.18,0.058,0.0,0.0953,0.573,129.966
334,Beggin',3Wrjm47oTz2sjIgck11l5e,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002
335,Takeaway,3g0mEQx3NTanacLseoP0Gw,0.528,0.511,3,-8.144,1,0.0324,0.126,0.0,0.101,0.351,100.1
336,I Don’t Wanna Live Forever (Fifty Shades Darker),55n9yjI6qqXh5F2mYvUc2y,0.731,0.445,0,-8.418,1,0.0533,0.0586,1.96e-05,0.14,0.106,117.97
337,Scared to Be Lonely,3ebXMykcMXOcLeJ9xZ17XH,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972
338,Sunflower - Spider-Man: Into the Spider-Verse,0rDCPdPKaBFxTW8ZHnYoqq,0.787,0.521,2,-7.535,1,0.117,0.204,1.76e-06,0.117,0.669,180.059
339,"Saami Saami (From ""Pushpa The Rise Part - 01"")",1GjRIaC1VRaPw8cl5CAjuF,0.837,0.801,5,-4.978,0,0.308,0.53,1.03e-06,0.174,0.908,139.894
340,2002,5kYXPBgoS9zigAv2Y4Wpyk,0.76,0.645,0,-9.171,1,0.0357,0.0527,0.413,0.082,0.843,108.919
341,BILLIE EILISH.,27ZZdyTSQWI7Cug2d2PkqV,0.9,0.509,1,-6.647,1,0.257,0.115,1.67e-06,0.0937,0.765,100.007
342,Thunder,7ER7vcy7u2ajg5IV45WBFw,0.439,0.681,0,-5.516,1,0.15,0.101,0.000232,0.395,0.3,168.082
343,Doobey,7k6QR9YHyW258yVN6FHO1T,0.751,0.669,3,-6.532,0,0.0359,0.342,1.31e-05,0.0822,0.359,119.014
344,In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH,0.622,0.712,5,-7.321,1,0.066,0.0573,0.0,0.13,0.487,140.025
345,Lazy Lad,17QlNzGYB4iceCCW8TrXO0,0.896,0.59,0,-6.071,1,0.0648,0.261,0.128,0.0876,0.907,125.944
346,No Promises (feat. Demi Lovato) - Ashworth Remix,7InzQLR47Yhmyd9FIQUnUP,0.651,0.642,10,-7.095,1,0.0656,0.429,0.0,0.187,0.55,121.048
347,Love Me Now,0Hijswm0F2WNL0vN5e4CyE,0.521,0.861,10,-3.138,1,0.319,0.261,0.0,0.0682,0.473,191.618
